"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2579213;449600;3;4;0;1;0;1;150;0;112;"";40000;"";"";"Гнутье рамки";45;4000;3.125;3.12;"16.12.2023";2
2578713;449735;1;1;2;0;0;0;15;1166;"";"";50000;55000;"";"Сборка специальных с\п";49;5050;1.018;5;"23.11.2023";2
2578713;449735;1;1;2;0;0;0;15;1166;"";"";55000;60000;50000;"Ящик";52;5500;0.008;0.016;"23.11.2023";2
2578713;449735;1;1;2;0;0;0;15;1166;"";"";60000;70000;55000;"Упаковка прочая";53;6000;0.021;4;"24.11.2023";1
2578713;449735;1;1;2;0;0;0;15;1166;"";"";70000;"";60000;"Погрузка";54;7000;0.083;0.08;"25.11.2023";1
2578713;449735;2;2;0;1;1;0;15;389;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1000;0.71;4;"22.11.2023";1
2578713;449735;2;2;0;1;1;0;15;389;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.568;4;"22.11.2023";1
2578713;449735;2;2;0;1;1;0;15;389;32056;"6 Energy Light T on КРИСТАЛВИЖН зак";25000;"";21001;"Термообработка";34;2520;0.452;5;"22.11.2023";2
2578713;449735;2;3;0;1;2;0;15;389;24406;"6 Crystalvision Planibel зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1001;0.71;4;"22.11.2023";1
2578713;449735;2;3;0;1;2;0;15;389;24406;"6 Crystalvision Planibel зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.568;4;"22.11.2023";1
